"vp";"nodd";"rfpbase";"audiofreq";"N";"p";"RT"
"S05";"1";"1,5";"2200";"16";"0,750000000000000";"1,513182729482651"
"S05";"1";"1,5";"2400";"16";"0,812500000000000";"1,278738006949425"
"S05";"3";"0,5";"2000";"16";"0,125000000000000";"1,420028194785118"
"S05";"3";"0,5";"2200";"16";"0,187500000000000";"1,334030747413635"
"S05";"3";"0,5";"2400";"16";"0,187500000000000";"1,165421813726425"
"S05";"3";"1,5";"2000";"16";"0,812500000000000";"1,319925442337990"
"S05";"3";"1,5";"2200";"16";"0,937500000000000";"1,434812501072884"
"S05";"3";"1,5";"2400";"16";"0,687500000000000";"1,182726979255676"
"S05";"5";"0,5";"2000";"16";"0,125000000000000";"1,147573024034500"
"S05";"5";"0,5";"2200";"16";"0,187500000000000";"1,630592957139015"
"S05";"5";"0,5";"2400";"16";"0,375000000000000";"1,367036595940590"
"S05";"5";"1,5";"2000";"16";"0,812500000000000";"1,493217945098877"
"S05";"5";"1,5";"2200";"16";"0,812500000000000";"1,537097901105881"
"S05";"5";"1,5";"2400";"16";"0,875000000000000";"1,283572271466255"
"S05";"7";"0,5";"2000";"16";"0,187500000000000";"1,255704045295715"
"S05";"7";"0,5";"2200";"16";"0,312500000000000";"1,622092083096504"
"S05";"7";"0,5";"2400";"16";"0,375000000000000";"1,680227532982826"
"S05";"7";"1,5";"2000";"16";"0,687500000000000";"1,475848004221916"
"S05";"7";"1,5";"2200";"16";"0,875000000000000";"1,515838712453842"
"S05";"7";"1,5";"2400";"16";"0,875000000000000";"1,951871320605278"
"S05";"9";"0,5";"2000";"16";"0,187500000000000";"1,330534398555756"
"S05";"9";"0,5";"2200";"16";"0,187500000000000";"1,234791383147240"
"S05";"9";"0,5";"2400";"16";"0,062500000000000";"1,257961198687553"
"S05";"9";"1,5";"2000";"16";"0,750000000000000";"1,238340795040131"
"S05";"9";"1,5";"2200";"16";"0,812500000000000";"1,827929988503456"
"S05";"9";"1,5";"2400";"16";"0,812500000000000";"1,435755342245102"
"S05";"11";"0,5";"2000";"16";"0,187500000000000";"1,203196525573730"
"S05";"11";"0,5";"2200";"16";"0,250000000000000";"1,302360236644745"
"S05";"11";"0,5";"2400";"16";"0,125000000000000";"1,596736758947372"
"S05";"11";"1,5";"2000";"16";"0,875000000000000";"1,347695291042328"
"S05";"11";"1,5";"2200";"16";"0,875000000000000";"1,429319083690643"
"S05";"11";"1,5";"2400";"16";"0,875000000000000";"1,745754882693291"
"S06";"1";"0,5";"2000";"16";"0,187500000000000";"1,190592914819717"
"S06";"1";"0,5";"2200";"16";"0,250000000000000";"1,403736546635628"
"S06";"1";"0,5";"2400";"16";"0,125000000000000";"1,374048247933388"
"S06";"1";"1,5";"2000";"16";"0,812500000000000";"1,425140067934990"
"S06";"1";"1,5";"2200";"16";"0,875000000000000";"1,366178929805756"
"S06";"1";"1,5";"2400";"16";"0,750000000000000";"1,329898282885551"
"S06";"3";"0,5";"2000";"16";"0,312500000000000";"1,708144307136536"
"S06";"3";"0,5";"2200";"16";"0,187500000000000";"1,310895010828972"
"S06";"3";"0,5";"2400";"16";"0,500000000000000";"1,292181208729744"
"S06";"3";"1,5";"2000";"16";"0,875000000000000";"1,445018604397774"
"S06";"3";"1,5";"2200";"16";"0,875000000000000";"1,349620923399925"
"S06";"3";"1,5";"2400";"16";"0,687500000000000";"1,503712385892868"
"S06";"5";"0,5";"2000";"16";"0,375000000000000";"1,235924184322357"
"S06";"5";"0,5";"2200";"16";"0,750000000000000";"2,194602712988853"
"S06";"5";"0,5";"2400";"16";"0,250000000000000";"1,825931951403618"
"S06";"5";"1,5";"2000";"16";"0,687500000000000";"1,420457750558853"
"S06";"5";"1,5";"2200";"16";"0,937500000000000";"1,337331771850586"
"S06";"5";"1,5";"2400";"16";"0,750000000000000";"1,778510123491287"
"S06";"7";"0,5";"2000";"16";"0,562500000000000";"1,470366641879082"
"S06";"7";"0,5";"2200";"16";"0,375000000000000";"1,910748422145844"
"S06";"7";"0,5";"2400";"16";"0,375000000000000";"1,458152413368225"
"S06";"7";"1,5";"2000";"16";"0,812500000000000";"1,222569659352303"
"S06";"7";"1,5";"2200";"16";"0,812500000000000";"1,518597677350044"
"S06";"7";"1,5";"2400";"16";"0,687500000000000";"1,482644528150558"
"S06";"9";"0,5";"2000";"16";"0,250000000000000";"1,433852672576904"
"S06";"9";"0,5";"2200";"16";"0,562500000000000";"1,131573081016541"
"S06";"9";"0,5";"2400";"16";"0,375000000000000";"1,588969722390175"
"S06";"9";"1,5";"2000";"16";"0,750000000000000";"1,539374142885208"
"S06";"9";"1,5";"2200";"16";"0,812500000000000";"1,566561669111252"
"S06";"9";"1,5";"2400";"16";"0,750000000000000";"1,422127023339272"
"S06";"11";"0,5";"2000";"16";"0,250000000000000";"1,790263012051582"
"S06";"11";"0,5";"2200";"16";"0,187500000000000";"1,517823427915573"
"S06";"11";"0,5";"2400";"16";"0,375000000000000";"1,159476742148399"
"S06";"11";"1,5";"2000";"16";"0,687500000000000";"1,615483209490776"
"S06";"11";"1,5";"2200";"16";"0,812500000000000";"1,638106241822243"
"S06";"11";"1,5";"2400";"16";"0,875000000000000";"1,245938956737518"
"S07";"1";"0,5";"2000";"16";"0,062500000000000";"1,142468705773354"
"S07";"1";"0,5";"2200";"16";"0,312500000000000";"1,545124560594559"
"S07";"1";"0,5";"2400";"16";"0,125000000000000";"1,149165838956833"
"S07";"1";"1,5";"2000";"16";"1,000000000000000";"1,184603631496429"
"S07";"1";"1,5";"2200";"16";"1,000000000000000";"1,345615327358246"
